# meta: 2026-08-16T18:39:51Z | mode=real | location=remote | device=XR1710Gaarch64  | modules=all | script=collect.sh v0
# --- module: npu ---
2026-08-16T18:39:54Z	mt76.phy0.tx_failed	【核心口径②】tx failed=0 [来源: 04 §3 核心口径②]	（空输出）	grep -i 'tx failed' /sys/kernel/debug/ieee80211/phy0/mt76/tx_stats /sys/kernel/debug/ieee80211/phy0/mt76/stats 2>/dev/null ¦ head -5	NA
2026-08-16T18:39:54Z	mt76.phy0.wed_queue	WED 队列/统计节点在场（=⑤专项）[来源: 04 §3 词条⑤]	（空输出）	ls /sys/kernel/debug/ieee80211/phy0/mt76/ 2>/dev/null ¦ grep -iE 'wed'	NA
2026-08-16T18:39:54Z	mt76.phy0.mt76_debugfs	队列/统计可读（[①④]）[来源: 04 §3 词条①④]	 Phy phy0, Phy band 0 Length: 1 ¦ 2 - 10 ¦ 11 - 19 ¦ 20 - 28 ¦ 29 - 37 ¦ 38 - 46 ¦ 47 - 55 ¦ 56 - 79 ¦ 80 -103 ¦ 104 -127 ¦ 128 -151 ¦ 152 -175 ¦ 176 -199 ¦ 200 -223 ¦ 224 -247 ¦ Count: 12371 ¦ 1861 ¦ 1692 ¦ 3257 ¦ 0 ¦ 0 ¦ 0 ¦ 0 ¦ 0 ¦ 0 ¦ 0 ¦ 0 ¦ 0 ¦ 0 ¦ 0 ¦ BA miss count: 11781 Tx attempts: 229762 (MPDUs) Tx success: 149380 (MPDUs) Tx PER: 35% Tx Beamformer applied P	cat /sys/kernel/debug/ieee80211/phy0/mt76/queues /sys/kernel/debug/ieee80211/phy0/mt76/tx_stats 2>/dev/null ¦ head -20	OK
# --- module: flow ---
2026-08-16T18:39:55Z	flow.bin	FlowSense 用户态命令在场（PPE 硬 NAT 前哨）[来源: 02 §4；04 §3 词条②]	（空输出）	command -v flowsense; command -v flowm; command -v flowmd	NA
2026-08-16T18:39:55Z	flow.uci	配置完整且 PPPoE/VLAN/AP 模式/XFRM 通道可见 [来源: 02 §2 社区 FlowSense；04 §3 指标来源]	（空输出）	uci show flowsense 2>/dev/null; uci show flowm 2>/dev/null	NA
2026-08-16T18:39:55Z	flow.flows	硬加速流表非空、逐流可读；AP 模式下流表仍可见（=⑤专项）[来源: 04 §3 词条②⑤]	（空输出）	flowm dump 2>/dev/null ¦ head -40	NA
2026-08-16T18:39:55Z	flow.flows_pattern	PPPoE/VLAN 特征流可辨识（PPPoE 硬卸载来源不全→仅观测，进 v1 验收需真机流表）[来源: 02 §2；04 §3 指标来源]	（空输出）	flowm dump 2>/dev/null ¦ grep -iE "pppoe¦vlan" ¦ head -10	NA
2026-08-16T18:39:55Z	flow.log	初始化成功；无 PPE 报错；无 CVE-2025-22061 对应 kernel warning [来源: 02 §7；04 §3 CVE 在场]	（空输出）	logread 2>/dev/null ¦ grep -iE "flowsense¦flowm¦ppe" ¦ tail -30	NA
2026-08-16T18:39:56Z	flow.ppe_debugfs	PPE 计数节点在场（[②④] 可观测）[来源: 04 §3 词条②④]	（空输出）	ls -R /sys/kernel/debug/flow /sys/kernel/debug/airoha/ppe 2>/dev/null ¦ head -40	NA
# --- module: eth ---
2026-08-16T18:39:56Z	eth.port_list	网口集齐：2×10G（RTL8261BE）+ 2×1G（MT7530）[来源: 02 §0 网口；02 §5 PHY]	eth0 lan1 lan2 lan3 wan	ls /sys/class/net 2>/dev/null ¦ grep -E "^eth¦^lan¦^wan"	OK
2026-08-16T18:39:56Z	eth.port_speed	双万兆口 Speed=10000（RTL8261BE）、双千兆=1000（MT7530）[来源: 02 §0；04 §3 核心口径① 的双 10G 载体]	eth0: 10000 Mb/s	for d in /sys/class/net/eth*; do [ -e "$d" ] && echo "$(basename $d): $(cat $d/speed 2>/dev/null) Mb/s"; done 2>/dev/null	OK
2026-08-16T18:39:56Z	eth.port_link	验收时双 10G 链路 carrier=1（Link up）[来源: 04 §3 核心口径①]	eth0: carrier=1	for d in /sys/class/net/eth*; do [ -e "$d" ] && echo "$(basename $d): carrier=$(cat $d/carrier 2>/dev/null)"; done 2>/dev/null	OK
2026-08-16T18:39:57Z	eth.ethtool_dump	ethtool 可见双 10G 口 Speed: 10000Mb/s 且 Link detected: yes [来源: 02 §0；04 §3 核心口径①]（依赖 ethtool 已装，未装则 sysfs 行兜底）	 Speed: 10000Mb/s Duplex: Full Link detected: yes	ethtool eth0 2>/dev/null ¦ grep -iE "Speed¦Duplex¦Link detected"; ethtool eth1 2>/dev/null ¦ grep -iE "Speed¦Link detected"	OK
2026-08-16T18:39:57Z	eth.phy_driver	10G PHY 驱动 rtl8261 在册 [来源: 02 §0/§5 RTL8261BE]	driver: airoha_eth	ethtool -i eth0 2>/dev/null ¦ grep -i driver; ethtool -i eth1 2>/dev/null ¦ grep -i driver	NA
# --- module: cpu ---
2026-08-16T18:39:57Z	cpu.loadavg	空载 <1.0；吞吐测试期间另留同刻对照 [来源: 04 §3 核心口径④ CPU<5% 佐证]	0.04 0.04 0.00 1/203 8320	cat /proc/loadavg 2>/dev/null	OK
2026-08-16T18:39:57Z	cpu.top_snapshot	10G↔Wi-Fi 并发 iperf3 时 CPU<5%（论坛实测 0–1%）；须与 wifi10g 模板同刻截取 [来源: 04 §3 核心口径④；01 §1.28 论坛实测 2026-03-22]	Mem: 235576K used, 1632000K free, 1796K shrd, 4K buff, 37220K cached CPU: 0% usr 4% sys 0% nic 95% idle 0% io 0% irq 0% sirq Load average: 0.04 0.04 0.00 2/204 8327 PID PPID USER STAT RSS %RSS %CPU COMMAND 8326 8325 root R 868 0% 4% top -b -n1 2124 2091 network S 3400 0% 0% /usr/sbin/hostapd -s -g /var/run/hostapd/global 2125 2092 network S 2676 0% 0% /usr/sbin/wpa_supplicant -n -s -g /var/run/wpa	top -b -n1 2>/dev/null ¦ head -20	OK
2026-08-16T18:39:57Z	cpu.pidstat	NPU/WED 线程占用分布可辨（procps-ng 可选，未装→NA 不阻塞）[来源: 04 §3 词条③]	（空输出）	pidstat 1 1 2>/dev/null ¦ head -20	NA
2026-08-16T18:39:58Z	cpu.softirqs	offload 开时 NET_RX 软中断增长平缓（开关对照佐证[④]）[来源: 04 §3 词条④]	 CPU0 CPU1 CPU2 CPU3 HI: 0 0 0 0 TIMER: 136801 74654 117008 84514 NET_TX: 5267 2433 2053 4059 NET_RX: 645090 4886 1739 24405 BLOCK: 0 0 0 0 IRQ_POLL: 0 0 0 0 TASKLET: 1937721 227 960037 389270 SCHED: 292196 326908 734374 409313 HRTIMER: 11 0 0 0	head -10 /proc/softirqs 2>/dev/null	OK
# --- module: iperf3 ---
2026-08-16T18:39:58Z	iperf3.bin_present	iperf3 已装（路由器与对端双侧）[来源: 04 §3 核心口径① 工具链]	/usr/bin/iperf3	command -v iperf3 2>/dev/null	OK
2026-08-16T18:39:58Z	iperf3.template.dual10g	【核心口径①】双 10G iperf3 双向近线速（参考 ≥9.4Gbps/向；以实机为准）[来源: 04 §3 核心口径①；02 §0 网口]	[预留模板·手动执行，脚本不自动测速] iperf3 -c <PEER_10G_IP> -t 60 -P 4 --bidir -O 5 --json # 双 10G 双向近线速位点	iperf3.template（不自动执行）	OK
2026-08-16T18:39:58Z	iperf3.template.udp_nat	【核心口径③/②】NPU 转发 ≥10Gbps；UDP 硬 NAT 满载 + PPE 流表命中 [来源: 04 §3 核心口径③、词条② PPE 硬 NAT 满载]	[预留模板·手动执行，脚本不自动测速] iperf3 -u -c <PEER_IP> -b 0 -t 60 --json # UDP 硬 NAT 满载位点	iperf3.template（不自动执行）	OK
2026-08-16T18:39:58Z	iperf3.template.wifi10g	【核心口径④】10G↔Wi-Fi 1.1–1.4Gbps 且 CPU<5% [来源: 04 §3 核心口径④；01 §1.28 论坛实测]	[预留模板·手动执行，脚本不自动测速] 路由器 10G LAN 口起 iperf3 -s；STA 经 Wi-Fi：iperf3 -c <ROUTER_LAN_IP> -t 60 -P 4 --json # 10G↔Wi-Fi 位点	iperf3.template（不自动执行）	OK
2026-08-16T18:39:59Z	iperf3.template.backhaul	【核心口径②/M3】6GHz 802.11s 回程 offload 开启下吞吐/时延基准跑稳；配套 mt76.<phy6>.tx_failed=0 [来源: 04 §3 核心口径②；02 §7 恩山手法⑤]	[预留模板·手动执行，脚本不自动测速] iperf3 -c <MESH_NODE_IP> -t 60 --json; ping -c 20 -i 0.2 <MESH_NODE_IP> # 6GHz 802.11s 回程位点	iperf3.template（不自动执行）	OK
# --- module: alerts ---
2026-08-16T18:39:59Z	alerts.dmesg_oom	无 OOM 痕迹（真机期望=空输出）[来源: 02 §7 稳定性；04 §3 M3 稳定运行]	（空输出）	dmesg 2>/dev/null ¦ grep -iE "out of memory¦oom-kill¦killed process"	OK
2026-08-16T18:39:59Z	alerts.dmesg_panic	无内核崩溃/Oops（真机期望=空输出）[来源: 02 §2 CVE-2025-68360 场景]	（空输出）	dmesg 2>/dev/null ¦ grep -iE "kernel panic¦Oops¦BUG:¦unable to handle kernel"	OK
2026-08-16T18:39:59Z	alerts.dmesg_wed	无 WED 相关崩溃/报错（6GHz offload 开启下；真机期望=空输出）[来源: 02 §2 CVE-2025-68360；04 §3 R4/核心口径②]	（空输出）	dmesg 2>/dev/null ¦ grep -iE "wed¦mt7996" ¦ grep -iE "crash¦bug¦fail¦error" ¦ head -10	OK
2026-08-16T18:40:00Z	alerts.dmesg_airtime	无 airtime_link_metric_get 报错（恩山稳定化验收项；真机期望=空输出）[来源: 02 §7 ⑤；04 §3 M3]	（空输出）	dmesg 2>/dev/null ¦ grep -i airtime_link_metric	OK
2026-08-16T18:40:00Z	alerts.governor	performance（恩山 6GHz 稳定化手法④；M3 口径，非 04 §3 硬性）[来源: 02 §7 ④]	ondemand	cat /sys/devices/system/cpu/cpu0/cpufreq/scaling_governor 2>/dev/null	NA
2026-08-16T18:40:00Z	alerts.max_inactivity	max_inactivity=86400 / disassoc_low_ack=0 在场（恩山稳定化手法④；M3 口径）[来源: 02 §7 ④]	wireless.default_radio0.disassoc_low_ack='0' wireless.default_radio1.disassoc_low_ack='0' wireless.default_radio2.disassoc_low_ack='0'	uci show wireless 2>/dev/null ¦ grep -iE "max_inactivity¦disassoc_low_ack"	OK
# --- module: thermal ---
2026-08-16T18:40:00Z	thermal.zones	温度可读；常态 52–57°C（M3 旗舰验收，非 04 §3 硬性）[来源: 02 §7 ⑤；04 §3 M3]	/sys/class/thermal/thermal_zone0: cpu-thermal = 55600	for z in /sys/class/thermal/thermal_zone*; do echo "$z: $(cat $z/type 2>/dev/null) = $(cat $z/temp 2>/dev/null)"; done 2>/dev/null	OK
2026-08-16T18:40:00Z	thermal.hwmon	hwmon 温度通道可读 [来源: 02 §7 温度口径]	68000 62000 56000 50000 50000 50625 127875 50000	cat /sys/class/hwmon/hwmon*/temp*_input 2>/dev/null ¦ head -20	OK
2026-08-16T18:40:01Z	thermal.fancontrol_cfg	luci-app-w1700k-fancontrol 配置在场 [来源: 02 §4 社区构建（来源 repo）]	（空输出）	uci show fancontrol 2>/dev/null; cat /etc/config/fancontrol 2>/dev/null	NA
